Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,3/13/21,Southwest Region,Fully Vaccinated,7,1,0,1081329
9/24/21,1/23/21,Eastern Region,Partially Vaccinated,220,7,12,445402
9/24/21,1/23/21,Southwest Region,Fully Vaccinated,1,0,0,83144
9/24/21,7/17/21,Central Region,Unvaccinated,588,14,7,3428473
9/24/21,8/14/21,Eastern Region,Partially Vaccinated,282,13,3,625346
9/24/21,9/18/21,Northern Region,Unvaccinated,2145,35,1,2872959
9/24/21,9/4/21,Northern Region,Partially Vaccinated,199,4,1,645608
9/24/21,2/27/21,Southwest Region,Partially Vaccinated,61,5,5,599377
9/24/21,6/12/21,Northern Region,Partially Vaccinated,17,0,0,637587
9/24/21,8/21/21,Eastern Region,Fully Vaccinated,759,35,16,4792601
9/24/21,7/24/21,Eastern Region,Fully Vaccinated,259,14,3,4619225
9/24/21,2/20/21,Southwest Region,Fully Vaccinated,9,2,0,526245
9/24/21,9/11/21,Central Region,Unvaccinated,3364,38,6,2925622
9/24/21,9/4/21,Eastern Region,Partially Vaccinated,366,16,2,645608
9/24/21,5/1/21,Central Region,Unvaccinated,1001,34,7,4388240
9/24/21,9/4/21,Central Region,Fully Vaccinated,366,9,4,4911839
9/24/21,9/11/21,Northern Region,Partially Vaccinated,217,4,0,645675
9/24/21,2/6/21,Eastern Region,Fully Vaccinated,0,0,0,230152
9/24/21,7/3/21,Southwest Region,Unvaccinated,284,28,6,3510668
9/24/21,7/31/21,Southwest Region,Partially Vaccinated,48,6,0,564867
9/24/21,8/21/21,Northern Region,Partially Vaccinated,207,8,0,638793
9/24/21,6/26/21,Southwest Region,Unvaccinated,233,22,6,3780584
9/24/21,3/13/21,Central Region,Unvaccinated,1629,42,35,6649199
9/24/21,3/27/21,Northern Region,Partially Vaccinated,243,9,3,1182054
9/24/21,1/23/21,Northwest Region,Fully Vaccinated,0,0,0,83144
9/24/21,2/27/21,Central Region,Partially Vaccinated,74,14,2,599377
9/24/21,5/8/21,Northwest Region,Partially Vaccinated,86,5,1,970053
9/24/21,5/15/21,Northwest Region,Fully Vaccinated,39,3,0,3565062
9/24/21,7/3/21,Central Region,Partially Vaccinated,12,2,0,539921
9/24/21,2/13/21,Northern Region,Partially Vaccinated,110,12,4,698026
9/24/21,4/17/21,Southwest Region,Fully Vaccinated,62,7,3,2382603
9/24/21,1/23/21,Northern Region,Partially Vaccinated,152,12,9,445402
9/24/21,6/5/21,Northwest Region,Fully Vaccinated,27,0,0,4076933
9/24/21,4/10/21,Northwest Region,Unvaccinated,1484,60,14,5153274
9/24/21,6/26/21,Northwest Region,Fully Vaccinated,32,2,0,4226322
9/24/21,5/22/21,Central Region,Unvaccinated,391,14,6,3924838
9/24/21,8/7/21,Northwest Region,Partially Vaccinated,116,6,0,599819
9/24/21,2/27/21,Eastern Region,Partially Vaccinated,93,13,9,599377
9/24/21,3/6/21,Eastern Region,Fully Vaccinated,9,0,0,914621
9/24/21,3/20/21,Northern Region,Unvaccinated,2465,54,22,6353726
9/24/21,4/24/21,Northern Region,Fully Vaccinated,56,5,4,2707521
9/24/21,7/17/21,Southwest Region,Fully Vaccinated,111,20,3,4579164
9/24/21,5/29/21,Northern Region,Fully Vaccinated,25,4,2,3953355
9/24/21,6/5/21,Eastern Region,Fully Vaccinated,19,6,3,4076933
9/24/21,7/31/21,Central Region,Unvaccinated,1473,34,23,3313414
9/24/21,7/3/21,Northern Region,Partially Vaccinated,24,0,0,539921
9/24/21,5/8/21,Northwest Region,Unvaccinated,808,26,11,4250779
9/24/21,6/12/21,Northwest Region,Unvaccinated,197,9,3,3662077
9/24/21,5/15/21,Central Region,Unvaccinated,523,16,7,4115664
9/24/21,9/4/21,Central Region,Unvaccinated,3617,52,9,2978072
9/24/21,1/30/21,Central Region,Unvaccinated,4475,96,53,7756203
9/24/21,7/17/21,Northern Region,Partially Vaccinated,56,4,1,527882
9/24/21,3/13/21,Northern Region,Unvaccinated,2394,57,19,6649199
9/24/21,7/3/21,Southwest Region,Fully Vaccinated,41,0,0,4484930
9/24/21,3/13/21,Eastern Region,Fully Vaccinated,15,0,0,1081329
9/24/21,1/23/21,Northwest Region,Unvaccinated,4066,114,43,8006973
9/24/21,2/27/21,Northwest Region,Fully Vaccinated,5,3,1,746880
9/24/21,2/20/21,Northwest Region,Partially Vaccinated,84,6,1,646725
9/24/21,1/23/21,Central Region,Unvaccinated,5436,99,90,8006973
9/24/21,3/27/21,Southwest Region,Fully Vaccinated,29,3,2,1459375
9/24/21,2/13/21,Eastern Region,Unvaccinated,4043,152,50,7470053
9/24/21,6/26/21,Southwest Region,Partially Vaccinated,7,3,0,528613
9/24/21,2/20/21,Eastern Region,Fully Vaccinated,10,0,0,526245
